Iteration,wins,loses,draws
11350,16,0,34
11400,21,1,28
11450,20,2,28
11500,18,1,31
11550,18,0,32
11600,26,1,23
11650,18,1,31
11700,21,0,29
11750,19,1,30
11800,21,1,28
11850,25,0,25
11900,17,0,33
11950,21,1,28
12000,28,1,21
12050,25,0,25
12100,24,0,26
12150,22,0,28
12200,24,0,26
12250,28,2,20
12300,16,0,34
12350,13,1,36
12400,21,0,29
12450,27,1,22
12500,21,0,29
12550,19,0,31
12600,19,0,31
12650,23,0,27
12700,28,0,22
12750,25,2,23
12800,22,0,28
12850,23,0,27
12900,16,0,34
12950,22,1,27
13000,24,0,26
13050,25,0,25
13100,26,0,24
13150,25,1,24
13200,16,1,33
13250,25,0,25
13300,24,0,26
13350,16,0,34
13400,20,1,29
13450,24,0,26
13500,28,0,22
13550,19,0,31
13600,17,1,32
13650,23,0,27
13700,20,0,30
13750,22,1,27
13800,19,0,31
13850,23,0,27
13900,23,1,26
13950,27,0,23
14000,17,0,33
14050,20,0,30
14100,24,0,26
14150,22,1,27
14200,20,1,29
14250,24,2,24
14300,18,1,31
14350,24,0,26
14400,17,0,33
14450,25,0,25
14500,23,0,27
14550,16,1,33
14600,22,1,27
14650,22,1,27
14700,22,0,28
14750,24,0,26
14800,30,0,20
14850,22,2,26
14900,24,1,25
14950,20,2,28
15000,27,0,23
15050,20,0,30
15100,28,0,22
15150,33,0,17
15200,22,1,27
15250,18,0,32
15300,22,0,28
15350,21,2,27
15400,16,0,34
15450,27,0,23
15500,25,0,25
15550,25,0,25
15600,23,0,27
15650,28,0,22
15700,20,2,28
15750,20,0,30
15800,27,0,23
15850,20,0,30
15900,22,1,27
15950,21,2,27
16000,21,0,29
16050,18,1,31
16100,18,0,32
16150,24,2,24
16200,18,1,31
16250,25,0,25
16300,20,0,30
16350,21,0,29
16400,26,1,23
16450,27,1,22
16500,20,0,30
16550,21,3,26
16600,26,0,24
16650,28,0,22
16700,26,1,23
16750,17,1,32
16800,23,1,26
16850,23,1,26
16900,21,1,28
16950,23,1,26
17000,24,0,26
17050,25,0,25
17100,26,0,24
17150,21,2,27
17200,25,0,25
17250,26,1,23
17300,20,2,28
17350,24,2,24
17400,18,0,32
17450,13,1,36
17500,24,1,25
17550,26,0,24
17600,22,0,28
17650,27,0,23
17700,28,2,20
17750,17,1,32
17800,24,2,24
17850,15,0,35
17900,21,2,27
17950,22,1,27
18000,20,0,30
18050,25,0,25
18100,25,1,24
18150,27,1,22
18200,27,0,23
18250,25,1,24
18300,27,2,21
18350,21,0,29
18400,29,0,21
18450,20,0,30
18500,26,0,24
18550,27,0,23
18600,20,0,30
18650,26,2,22
18700,33,0,17
18750,24,0,26
18800,25,0,25
18850,29,1,20
18900,27,0,23
18950,22,0,28
19000,25,1,24
19050,18,0,32
19100,21,0,29
19150,19,2,29
19200,18,1,31
19250,23,0,27
19300,19,1,30
19350,28,0,22
19400,29,0,21
19450,22,1,27
19500,24,2,24
19550,24,0,26
19600,21,1,28
19650,23,1,26
19700,18,0,32
19750,18,1,31
19800,30,2,18
19850,23,0,27
19900,22,0,28
19950,23,0,27
20000,20,0,30
20050,25,0,25
20100,26,2,22
20150,24,0,26
20200,31,0,19
20250,23,1,26
20300,24,0,26
20350,27,1,22
20400,22,0,28
20450,25,0,25
20500,21,0,29
20550,25,0,25
20600,25,0,25
20650,22,0,28
20700,23,2,25
20750,26,1,23
20800,26,0,24
20850,28,0,22
20900,22,0,28
20950,26,2,22
21000,26,1,23
21050,21,0,29
21100,25,0,25
21150,29,0,21
21200,21,0,29
21250,24,0,26
21300,27,0,23
21350,24,1,25
21400,27,2,21
21450,17,1,32
21500,30,0,20
21550,23,1,26
21600,29,1,20
21650,21,0,29
21700,22,0,28
21750,26,0,24
21800,25,3,22
21850,19,0,31
21900,30,0,20
21950,27,0,23
22000,19,1,30
22050,26,1,23
22100,22,0,28
22150,27,1,22
22200,19,2,29
22250,22,2,26
22300,32,0,18
22350,22,0,28
22400,24,1,25
22450,23,3,24
22500,22,0,28
22550,21,1,28
22600,22,2,26
22650,25,1,24
22700,27,2,21
22750,24,2,24
22800,26,2,22
22850,28,0,22
22900,22,1,27
22950,24,0,26
23000,29,2,19
23050,20,0,30
23100,26,0,24
23150,25,1,24
23200,26,1,23
23250,17,0,33
23300,21,2,27
23350,21,0,29
23400,29,1,20
23450,24,3,23
23500,27,0,23
23550,30,0,20
23600,24,4,22
23650,29,2,19
23700,27,1,22
23750,23,0,27
23800,21,0,29
23850,19,1,30
23900,27,1,22
23950,26,0,24
24000,22,1,27
24050,26,2,22
24100,29,0,21
24150,28,0,22
24200,25,1,24
24250,23,2,25
24300,25,0,25
24350,25,0,25
24400,20,0,30
24450,25,1,24
24500,24,0,26
24550,29,0,21
24600,28,2,20
24650,29,0,21
24700,22,1,27
24750,29,1,20
24800,21,1,28
24850,27,1,22
24900,26,1,23
24950,32,0,18
25000,30,1,19
25050,26,0,24
25100,23,3,24
25150,20,0,30
25200,19,3,28
25250,19,1,30
25300,25,0,25
25350,26,0,24
25400,26,0,24
25450,21,1,28
25500,18,1,31
25550,22,0,28
25600,23,0,27
25650,17,2,31
25700,27,1,22
25750,30,1,19
25800,19,2,29
25850,28,0,22
25900,22,2,26
25950,29,0,21
26000,22,1,27
26050,24,3,23
26100,25,0,25
26150,24,1,25
26200,22,4,24
26250,25,0,25
26300,22,2,26
26350,26,1,23
26400,24,0,26
26450,19,0,31
26500,25,0,25
26550,25,0,25
26600,27,2,21
26650,27,1,22
26700,20,1,29
26750,28,0,22
26800,34,0,16
26850,28,1,21
26900,25,3,22
26950,28,0,22
27000,22,0,28
27050,30,0,20
27100,25,3,22
27150,21,1,28
27200,22,1,27
27250,25,0,25
27300,21,0,29
27350,28,0,22
27400,23,1,26
27450,23,1,26
27500,21,0,29
27550,25,0,25
27600,19,0,31
27650,19,0,31
27700,29,1,20
27750,19,1,30
27800,20,0,30
27850,25,0,25
27900,27,1,22
27950,19,1,30
28000,24,1,25
28050,27,1,22
28100,21,0,29
28150,31,1,18
28200,27,1,22
28250,24,2,24
28300,26,2,22
28350,23,0,27
28400,19,0,31
28450,29,1,20
28500,27,1,22
28550,17,2,31
28600,24,1,25
28650,28,0,22
28700,19,0,31
28750,30,1,19
28800,22,3,25
28850,18,2,30
28900,22,1,27
28950,27,0,23
29000,28,0,22
29050,29,2,19
29100,26,1,23
29150,22,1,27
29200,22,1,27
29250,24,0,26
29300,22,0,28
29350,25,0,25
29400,32,0,18
29450,24,1,25
29500,26,2,22
29550,21,5,24
29600,23,1,26
29650,22,2,26
29700,30,1,19
29750,23,0,27
29800,26,2,22
29850,21,1,28
29900,30,0,20
29950,33,2,15
30000,27,1,22
30050,25,0,25
30100,24,1,25
30150,26,1,23
30200,26,1,23
30250,25,0,25
30300,20,1,29
30350,21,0,29
30400,28,2,20
30450,21,1,28
30500,27,1,22
30550,28,0,22
30600,31,0,19
30650,17,1,32
30700,29,0,21
30750,27,0,23
30800,23,1,26
30850,26,1,23
30900,22,2,26
30950,24,0,26
31000,26,0,24
31050,31,1,18
31100,20,3,27
31150,25,0,25
31200,23,2,25
31250,21,0,29
31300,26,1,23
31350,29,1,20
31400,21,1,28
31450,25,1,24
31500,26,2,22
31550,30,2,18
31600,30,0,20
31650,25,0,25
31700,28,1,21
31750,22,0,28
31800,32,0,18
31850,21,0,29
31900,21,1,28
31950,21,0,29
32000,25,1,24
32050,23,0,27
32100,23,1,26
32150,25,1,24
32200,25,1,24
32250,23,1,26
32300,27,1,22
32350,31,0,19
32400,27,0,23
32450,24,1,25
32500,21,1,28
32550,38,2,10
32600,22,2,26
32650,24,1,25
32700,25,0,25
32750,24,1,25
32800,26,0,24
32850,23,1,26
32900,26,2,22
32950,26,0,24
33000,27,2,21
33050,16,0,34
33100,19,2,29
33150,23,1,26
33200,28,0,22
33250,23,1,26
33300,26,0,24
33350,27,0,23
33400,23,0,27
33450,22,1,27
33500,22,3,25
33550,27,0,23
33600,24,1,25
33650,30,0,20
33700,27,0,23
33750,22,1,27
33800,24,2,24
33850,20,0,30
33900,20,3,27
33950,24,2,24
34000,23,2,25
34050,24,1,25
34100,22,2,26
34150,24,2,24
34200,25,0,25
34250,22,2,26
34300,22,1,27
34350,20,1,29
34400,22,1,27
34450,12,1,37
34500,18,0,32
34550,27,0,23
34600,19,0,31
34650,25,1,24
34700,28,1,21
34750,18,0,32
34800,27,1,22
34850,26,0,24
34900,25,0,25
34950,21,0,29
35000,28,0,22
35050,18,2,30
35100,23,0,27
35150,23,1,26
35200,27,1,22
35250,23,0,27
35300,29,1,20
35350,25,3,22
35400,24,1,25
35450,30,0,20
35500,24,2,24
35550,29,0,21
35600,27,1,22
35650,27,2,21
35700,28,1,21
35750,27,0,23
35800,23,0,27
35850,27,1,22
35900,27,0,23
35950,34,0,16
36000,20,0,30
36050,29,1,20
36100,17,1,32
36150,25,1,24
36200,22,0,28
36250,24,0,26
36300,30,0,20
36350,32,1,17
36400,25,0,25
36450,31,0,19
36500,27,1,22
36550,23,1,26
36600,26,0,24
36650,27,1,22
36700,28,2,20
36750,27,0,23
36800,31,0,19
36850,25,1,24
36900,24,0,26
36950,18,2,30
37000,27,0,23
37050,29,0,21
37100,29,0,21
37150,30,0,20
37200,28,0,22
37250,21,1,28
37300,22,1,27
37350,20,0,30
37400,20,1,29
37450,27,0,23
37500,30,2,18
37550,20,2,28
37600,28,0,22
37650,25,2,23
37700,27,2,21
37750,26,1,23
37800,26,0,24
37850,20,0,30
37900,19,1,30
37950,26,0,24
38000,28,1,21
38050,33,1,16
38100,29,2,19
38150,22,1,27
38200,24,3,23
38250,27,2,21
38300,29,0,21
38350,28,0,22
38400,17,1,32
38450,24,1,25
38500,20,1,29
38550,28,0,22
38600,27,1,22
38650,27,0,23
38700,29,1,20
38750,28,1,21
38800,23,3,24
38850,24,2,24
38900,20,4,26
38950,24,0,26
39000,26,3,21
39050,31,0,19
39100,24,1,25
39150,28,0,22
39200,22,2,26
39250,24,0,26
39300,26,0,24
39350,24,0,26
39400,21,4,25
39450,31,0,19
39500,24,1,25
39550,21,0,29
39600,24,2,24
39650,19,2,29
39700,24,1,25
39750,23,1,26
39800,26,1,23
39850,24,2,24
39900,23,1,26
39950,27,0,23
40000,21,1,28
40050,23,2,25
40100,19,2,29
40150,24,1,25
40200,28,1,21
40250,24,0,26
40300,30,1,19
40350,31,0,19
40400,19,0,31
40450,22,0,28
40500,27,1,22
40550,26,0,24
40600,20,1,29
40650,28,1,21
40700,20,3,27
40750,24,1,25
40800,21,1,28
40850,28,1,21
40900,22,2,26
40950,23,4,23
41000,20,1,29
41050,24,1,25
41100,18,1,31
41150,30,1,19
41200,24,0,26
41250,23,0,27
41300,24,3,23
41350,22,0,28
41400,20,2,28
41450,17,0,33
41500,21,2,27
41550,18,0,32
41600,31,0,19
41650,21,1,28
41700,21,0,29
41750,20,1,29
41800,23,1,26
41850,24,0,26
41900,24,1,25
41950,24,2,24
42000,21,1,28
42050,24,0,26
42100,27,1,22
42150,24,3,23
42200,24,0,26
42250,21,3,26
42300,25,1,24
42350,24,1,25
42400,17,1,32
42450,21,1,28
42500,26,1,23
42550,28,3,19
42600,18,0,32
42650,25,2,23
42700,19,1,30
42750,23,1,26
42800,30,2,18
42850,23,2,25
42900,21,1,28
42950,21,1,28
43000,27,0,23
43050,25,0,25
43100,29,1,20
43150,25,1,24
43200,20,4,26
43250,18,2,30
43300,23,1,26
43350,21,0,29
43400,20,0,30
43450,22,2,26
43500,22,0,28
43550,17,1,32
43600,25,2,23
43650,15,2,33
43700,22,0,28
43750,21,2,27
43800,17,0,33
43850,23,0,27
43900,23,1,26
43950,28,1,21
44000,26,0,24
44050,24,0,26
44100,20,2,28
44150,25,0,25
44200,31,1,18
44250,31,1,18
44300,30,1,19
44350,25,2,23
44400,27,0,23
44450,26,1,23
44500,19,0,31
44550,27,0,23
44600,24,0,26
44650,25,0,25
44700,22,2,26
44750,22,3,25
44800,26,1,23
44850,25,2,23
44900,24,2,24
44950,27,3,20
45000,21,2,27
45050,30,1,19
45100,26,1,23
45150,24,3,23
45200,21,0,29
45250,29,1,20
45300,26,2,22
45350,22,0,28
45400,25,2,23
45450,28,1,21
45500,23,1,26
45550,31,0,19
45600,22,0,28
45650,26,1,23
45700,25,0,25
45750,22,1,27
45800,22,2,26
45850,25,2,23
45900,24,0,26
45950,21,2,27
46000,26,0,24
46050,24,1,25
46100,21,1,28
46150,31,2,17
46200,21,1,28
46250,18,1,31
46300,22,1,27
46350,27,2,21
46400,25,2,23
46450,21,0,29
46500,22,2,26
46550,24,1,25
46600,24,1,25
46650,25,0,25
46700,23,0,27
46750,26,0,24
46800,17,2,31
46850,25,2,23
46900,21,1,28
46950,25,0,25
47000,23,1,26
47050,24,2,24
47100,23,1,26
47150,26,0,24
47200,21,1,28
47250,20,2,28
47300,22,2,26
47350,14,3,33
47400,22,3,25
47450,28,1,21
47500,20,0,30
47550,17,3,30
47600,27,0,23
47650,20,1,29
47700,25,0,25
47750,25,1,24
47800,20,0,30
47850,24,1,25
47900,21,4,25
47950,25,1,24
48000,26,0,24
48050,27,0,23
48100,25,0,25
48150,26,1,23
48200,27,4,19
48250,29,1,20
48300,26,2,22
48350,26,2,22
48400,22,2,26
48450,26,0,24
48500,28,2,20
48550,23,1,26
48600,21,1,28
48650,20,0,30
48700,24,1,25
48750,20,0,30
48800,26,1,23
48850,27,2,21
48900,24,1,25
48950,22,0,28
49000,21,0,29
49050,23,4,23
49100,30,0,20
49150,20,1,29
49200,27,3,20
49250,19,1,30
49300,27,0,23
49350,23,1,26
49400,22,0,28
49450,22,1,27
49500,23,0,27
49550,24,2,24
49600,21,1,28
49650,22,0,28
49700,24,1,25
49750,19,1,30
49800,22,0,28
49850,25,2,23
49900,23,0,27
49950,20,0,30
50000,20,3,27
50050,21,2,27
50100,23,2,25
50150,26,0,24
50200,20,0,30
50250,29,0,21
50300,25,0,25
50350,29,0,21
50400,18,1,31
50450,19,1,30
50500,21,2,27
50550,16,1,33
50600,25,1,24
50650,30,1,19
50700,26,2,22
50750,24,0,26
50800,19,1,30
50850,20,1,29
50900,28,0,22
50950,24,1,25
51000,18,1,31
51050,20,0,30
51100,28,2,20
51150,21,0,29
51200,19,0,31
51250,19,2,29
51300,19,2,29
51350,23,2,25
51400,29,2,19
51450,30,2,18
51500,21,4,25
51550,19,1,30
51600,21,1,28
51650,23,1,26
51700,23,2,25
51750,23,0,27
51800,29,1,20
51850,23,0,27
51900,24,1,25
51950,25,1,24
52000,25,1,24
52050,30,1,19
52100,26,1,23
52150,19,1,30
52200,27,0,23
52250,24,1,25
52300,20,1,29
52350,22,3,25
52400,25,1,24
52450,23,0,27
52500,25,1,24
52550,26,0,24
52600,23,0,27
52650,27,0,23
52700,21,0,29
52750,30,0,20
52800,19,0,31
52850,29,0,21
52900,30,2,18
52950,28,1,21
53000,23,1,26
53050,28,0,22
53100,20,0,30
53150,25,3,22
53200,25,2,23
53250,28,1,21
53300,17,3,30
53350,23,1,26
53400,25,1,24
53450,21,2,27
53500,22,0,28
53550,26,1,23
53600,24,0,26
53650,26,2,22
53700,23,1,26
53750,23,0,27
53800,28,0,22
53850,21,4,25
53900,24,0,26
53950,26,2,22
54000,30,1,19
54050,22,0,28
54100,26,1,23
54150,25,1,24
54200,26,2,22
54250,29,1,20
54300,28,0,22
54350,18,2,30
54400,22,0,28
54450,24,0,26
54500,23,1,26
54550,29,1,20
54600,22,1,27
54650,23,3,24
54700,23,1,26
54750,22,2,26
54800,28,1,21
54850,21,1,28
54900,24,0,26
54950,21,0,29
55000,23,4,23
55050,27,0,23
55100,21,0,29
55150,29,0,21
55200,30,1,19
55250,26,0,24
55300,23,0,27
55350,22,1,27
55400,27,2,21
55450,32,0,18
55500,26,2,22
55550,27,0,23
55600,20,1,29
55650,23,1,26
55700,29,1,20
55750,28,1,21
55800,27,4,19
55850,32,0,18
55900,20,1,29
55950,16,2,32
56000,27,1,22
56050,25,0,25
56100,26,0,24
56150,27,0,23
56200,30,2,18
56250,20,3,27
56300,21,0,29
56350,27,1,22
56400,25,1,24
56450,23,1,26
56500,25,0,25
56550,21,2,27
56600,18,1,31
56650,20,1,29
56700,18,2,30
56750,28,1,21
56800,28,2,20
56850,21,2,27
56900,26,0,24
56950,26,1,23
57000,29,0,21
57050,16,6,28
57100,21,0,29
57150,23,0,27
57200,23,2,25
57250,24,1,25
57300,22,0,28
57350,27,1,22
57400,24,0,26
57450,26,2,22
57500,24,3,23
57550,28,0,22
57600,24,0,26
57650,18,1,31
57700,23,0,27
57750,25,0,25
57800,23,0,27
57850,20,2,28
57900,29,1,20
57950,24,1,25
58000,27,1,22
58050,24,0,26
58100,19,1,30
58150,23,1,26
58200,25,1,24
58250,22,0,28
58300,26,1,23
58350,26,3,21
58400,22,0,28
58450,25,0,25
58500,19,1,30
58550,22,1,27
58600,31,1,18
58650,18,0,32
58700,24,0,26
58750,23,0,27
58800,23,1,26
58850,24,0,26
58900,30,0,20
58950,22,1,27
59000,23,0,27
59050,28,2,20
59100,22,1,27
59150,19,0,31
59200,29,1,20
59250,26,2,22
59300,29,0,21
59350,18,1,31
59400,22,0,28
59450,23,0,27
59500,24,2,24
59550,20,0,30
59600,21,0,29
59650,24,1,25
59700,19,0,31
59750,20,2,28
59800,22,2,26
59850,26,2,22
59900,29,1,20
59950,27,2,21
60000,25,1,24
60050,23,0,27
60100,29,1,20
60150,24,0,26
60200,27,0,23
60250,25,2,23
60300,22,0,28
60350,24,0,26
60400,26,0,24
60450,26,1,23
60500,18,4,28
60550,22,0,28
60600,24,0,26
60650,19,2,29
60700,27,0,23
60750,23,1,26
60800,24,3,23
60850,28,0,22
60900,20,2,28
60950,23,1,26
61000,21,2,27
61050,18,1,31
61100,25,0,25
61150,23,2,25
61200,22,0,28
61250,23,1,26
61300,26,0,24
61350,24,2,24
61400,20,2,28
61450,26,0,24
61500,22,1,27
61550,22,1,27
61600,25,1,24
61650,22,0,28
61700,31,0,19
61750,24,1,25
61800,19,1,30
61850,24,0,26
61900,28,2,20
61950,26,0,24
62000,26,0,24
62050,26,1,23
62100,25,2,23
62150,20,2,28
62200,23,1,26
62250,26,0,24
62300,21,2,27
62350,28,0,22
62400,24,1,25
62450,24,0,26
62500,21,0,29
62550,21,0,29
62600,23,2,25
62650,24,1,25
62700,23,2,25
62750,25,1,24
62800,24,1,25
62850,25,0,25
62900,21,0,29
62950,19,0,31
63000,22,1,27
63050,27,1,22
63100,28,0,22
63150,25,0,25
63200,25,3,22
63250,23,0,27
63300,24,1,25
63350,26,2,22
63400,27,3,20
63450,20,2,28
63500,22,0,28
63550,24,1,25
63600,29,1,20
63650,26,0,24
63700,20,0,30
63750,24,2,24
63800,22,1,27
63850,21,0,29
63900,24,0,26
63950,25,0,25
64000,28,1,21
64050,28,3,19
64100,27,0,23
64150,25,2,23
64200,20,1,29
64250,22,2,26
64300,19,3,28
64350,22,0,28
64400,23,0,27
64450,15,1,34
64500,21,5,24
64550,27,0,23
64600,19,0,31
64650,29,1,20
64700,29,0,21
64750,22,2,26
64800,29,0,21
64850,22,0,28
64900,17,0,33
64950,19,3,28
65000,18,1,31
65050,21,3,26
65100,29,0,21
65150,18,2,30
65200,29,0,21
65250,24,0,26
65300,28,1,21
65350,17,3,30
65400,22,0,28
65450,20,0,30
65500,23,1,26
65550,23,1,26
65600,23,4,23
65650,21,0,29
65700,24,0,26
65750,22,1,27
65800,16,0,34
65850,31,0,19
65900,22,2,26
65950,26,0,24
66000,26,1,23
66050,23,0,27
66100,31,1,18
66150,22,0,28
66200,27,0,23
66250,21,2,27
66300,21,0,29
66350,22,0,28
66400,23,2,25
66450,21,1,28
66500,25,0,25
66550,20,0,30
66600,25,0,25
66650,25,1,24
66700,27,2,21
66750,26,0,24
66800,19,0,31
66850,20,1,29
66900,28,0,22
66950,26,0,24
67000,27,0,23
67050,22,1,27
67100,24,0,26
67150,29,0,21
67200,21,2,27
67250,22,1,27
67300,21,2,27
67350,24,0,26
67400,22,2,26
67450,27,0,23
67500,21,0,29
67550,25,0,25
67600,29,0,21
67650,23,2,25
67700,21,0,29
67750,21,0,29
67800,21,1,28
67850,26,0,24
67900,16,1,33
67950,22,1,27
68000,25,1,24
68050,19,0,31
68100,19,0,31
68150,26,0,24
68200,25,0,25
68250,21,0,29
68300,21,1,28
68350,16,1,33
68400,22,1,27
68450,23,1,26
68500,22,1,27
68550,21,0,29
68600,26,0,24
68650,25,3,22
68700,24,2,24
68750,17,1,32
68800,32,0,18
68850,24,0,26
68900,27,1,22
68950,21,1,28
69000,22,0,28
69050,28,1,21
69100,26,1,23
69150,19,1,30
69200,24,0,26
69250,17,0,33
69300,30,0,20
69350,24,1,25
69400,19,3,28
69450,21,1,28
69500,26,1,23
69550,26,0,24
69600,26,0,24
69650,20,1,29
69700,21,0,29
69750,28,0,22
69800,22,2,26
69850,22,1,27
69900,24,1,25
69950,19,1,30
70000,24,0,26
70050,20,1,29
70100,23,1,26
70150,23,0,27
70200,26,0,24
70250,26,1,23
70300,25,0,25
70350,30,0,20
70400,23,2,25
70450,23,1,26
70500,20,5,25
70550,31,1,18
70600,27,0,23
70650,19,1,30
70700,20,0,30
70750,32,0,18
70800,21,2,27
70850,25,1,24
70900,29,0,21
70950,27,2,21
71000,24,1,25
71050,30,0,20
71100,20,2,28
71150,21,2,27
71200,24,0,26
71250,22,2,26
71300,24,1,25
71350,30,0,20
71400,24,0,26
71450,21,2,27
71500,22,1,27
71550,28,1,21
71600,21,1,28
71650,26,0,24
71700,23,0,27
71750,23,0,27
71800,26,0,24
71850,25,0,25
71900,22,0,28
71950,26,1,23
72000,24,2,24
72050,21,1,28
72100,28,0,22
72150,21,0,29
72200,25,1,24
72250,23,2,25
72300,20,0,30
72350,23,1,26
72400,22,0,28
72450,18,1,31
72500,18,2,30
72550,25,3,22
72600,24,0,26
72650,19,0,31
72700,27,0,23
72750,26,0,24
72800,30,0,20
72850,21,0,29
72900,22,0,28
72950,18,1,31
73000,25,0,25
73050,31,1,18
73100,24,2,24
73150,25,0,25
73200,17,0,33
73250,21,1,28
73300,25,0,25
73350,25,1,24
73400,28,0,22
73450,18,0,32
73500,22,3,25
73550,25,3,22
73600,19,0,31
73650,23,0,27
73700,21,1,28
73750,23,0,27
73800,21,0,29
73850,24,0,26
73900,29,0,21
73950,24,0,26
74000,26,1,23
74050,26,0,24
74100,28,1,21
74150,23,1,26
74200,18,1,31
74250,20,0,30
74300,29,0,21
74350,21,1,28
74400,23,0,27
74450,25,3,22
74500,25,2,23
74550,23,1,26
74600,26,1,23
74650,19,1,30
74700,25,2,23
74750,20,2,28
74800,24,1,25
74850,27,1,22
74900,20,1,29
74950,19,1,30
75000,21,1,28
75050,26,0,24
75100,23,1,26
75150,29,1,20
75200,27,0,23
75250,28,0,22
75300,19,2,29
75350,22,1,27
75400,22,0,28
75450,24,0,26
75500,25,1,24
75550,25,0,25
75600,20,0,30
75650,17,0,33
75700,25,1,24
75750,32,0,18
75800,25,0,25
75850,26,1,23
75900,20,2,28
75950,25,3,22
76000,24,3,23
76050,27,2,21
76100,27,1,22
76150,18,0,32
76200,26,1,23
76250,25,3,22
76300,26,0,24
76350,31,1,18
76400,24,0,26
76450,28,1,21
76500,28,0,22
76550,14,1,35
76600,18,1,31
76650,25,4,21
76700,24,1,25
76750,25,1,24
76800,14,2,34
76850,23,0,27
76900,27,0,23
76950,25,0,25
77000,25,1,24
77050,23,0,27
77100,18,2,30
77150,23,0,27
77200,19,0,31
77250,23,0,27
77300,26,0,24
77350,22,4,24
77400,21,1,28
77450,26,0,24
77500,17,2,31
77550,32,0,18
77600,23,0,27
77650,27,2,21
77700,27,0,23
